adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig,uniq_id,street,city,country,street_part,house_number,house_anyting,vejnavn,husnr,appendiks
"Jernbanegade 3, 6000, Kolding",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,3,False,True,True,tllghyxsle,Jernbanegade 3, 6000, Kolding,Jernbanegade,3,,Jernbanegade,3,
"Jernbanegade 4, 6000, Kolding",55.490128,9.474245,Jernbanegade ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,130,True,4,False,True,True,tlasqpizoq,Jernbanegade 4, 6000, Kolding,Jernbanegade,4,,Jernbanegade,4,
"Jernbanegade 4, 6000, Kolding",55.490128,9.474245,Jernbanegade ,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,90,True,4,False,True,True,tlnjxhwerf,Jernbanegade 4, 6000, Kolding,Jernbanegade,4,,Jernbanegade,4,
"Jernbanegade 6 03, 6000, Kolding",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False,tljhchopnl,Jernbanegade 6 03, 6000, Kolding,Jernbanegade,6, 03,Jernbanegade,6, 03
"Jernbanegade 6 1 TH, 6000, Kolding",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False,tlheifnnuo,Jernbanegade 6 1 TH, 6000, Kolding,Jernbanegade,6, 1 TH,Jernbanegade,6, 1 TH
"Jernbanegade 6 1 TV, 6000, Kolding",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False,tlsnqbltns,Jernbanegade 6 1 TV, 6000, Kolding,Jernbanegade,6, 1 TV,Jernbanegade,6, 1 TV
"Jernbanegade 6 2 TH, 6000, Kolding",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False,tlxxhhpowz,Jernbanegade 6 2 TH, 6000, Kolding,Jernbanegade,6, 2 TH,Jernbanegade,6, 2 TH
"Jernbanegade 6 2 TV, 6000, Kolding",55.4900077,9.4743539,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,6,False,True,False,tlhbwkhher,Jernbanegade 6 2 TV, 6000, Kolding,Jernbanegade,6, 2 TV,Jernbanegade,6, 2 TV
"Jernbanegade 8, 6000, Kolding",55.4900786,9.4745658,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,8,False,True,True,tlvqbgibvp,Jernbanegade 8, 6000, Kolding,Jernbanegade,8,,Jernbanegade,8,
"Jernbanegade 8, 6000, Kolding",55.4900786,9.4745658,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,8,False,True,True,tldqwqtjmm,Jernbanegade 8, 6000, Kolding,Jernbanegade,8,,Jernbanegade,8,
"Jernbanegade 10, 6000, Kolding",55.4901022,9.4748229,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False,tlyfrmifqe,Jernbanegade 10, 6000, Kolding,Jernbanegade,10,,Jernbanegade,10,
"Jernbanegade 10, 6000, Kolding",55.4901022,9.4748229,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False,tlldffcdlb,Jernbanegade 10, 6000, Kolding,Jernbanegade,10,,Jernbanegade,10,
"Jernbanegade 10, 6000, Kolding",55.4901022,9.4748229,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False,tlbkaamfnx,Jernbanegade 10, 6000, Kolding,Jernbanegade,10,,Jernbanegade,10,
"Jernbanegade 11 02 1, 6000, Kolding",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False,tlgnnixzpo,Jernbanegade 11 02 1, 6000, Kolding,Jernbanegade,11, 02 1,Jernbanegade,11, 02 1
"Jernbanegade 11 02 2, 6000, Kolding",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False,tlxkqjhadq,Jernbanegade 11 02 2, 6000, Kolding,Jernbanegade,11, 02 2,Jernbanegade,11, 02 2
"Jernbanegade 11 02 3, 6000, Kolding",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False,tldrohejfi,Jernbanegade 11 02 3, 6000, Kolding,Jernbanegade,11, 02 3,Jernbanegade,11, 02 3
"Jernbanegade 11 02 4, 6000, Kolding",55.49019680000001,9.4758515,Jernbanegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,11,False,True,False,tlaxnyuucb,Jernbanegade 11 02 4, 6000, Kolding,Jernbanegade,11, 02 4,Jernbanegade,11, 02 4
