adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig,uniq_id,street,city,country,street_part,house_number,house_anyting,vejnavn,husnr,appendiks
"Grønnegade 15, 6000, Kolding",55.487368,9.469876,Grønnegade ,6000,Kolding,1,"240 l. beh, mad - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,15,True,False,False,mlnypoztpm,Grønnegade 15, 6000, Kolding,Grønnegade,15,,Grønnegade,15,
"Gøhlmannsvej 46, 6000, Kolding",55.4973909,9.4631276,Gøhlmannsvej ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,46,True,False,False,mlyaqxihok,Gøhlmannsvej 46, 6000, Kolding,Gøhlmannsvej,46,,Gøhlmannsvej,46,
"Gøhlmannsvej 48, 6000, Kolding",55.4974994,9.4628555,Gøhlmannsvej ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,48,True,False,False,mlqvfcjpez,Gøhlmannsvej 48, 6000, Kolding,Gøhlmannsvej,48,,Gøhlmannsvej,48,
"Gøhlmannsvej 50, 6000, Kolding",55.4976599,9.4624776,Gøhlmannsvej ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,50,True,False,False,mlakjeddrn,Gøhlmannsvej 50, 6000, Kolding,Gøhlmannsvej,50,,Gøhlmannsvej,50,
"Gøhlmannsvej 52, 6000, Kolding",55.49767869999999,9.4622356,Gøhlmannsvej ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,370,False,52,True,False,False,mluivqetkk,Gøhlmannsvej 52, 6000, Kolding,Gøhlmannsvej,52,,Gøhlmannsvej,52,
"Hjarupvej 6 A, 6000, Kolding",55.456646,9.474381,Hjarupvej ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,6,True,False,True,mlnategwsq,Hjarupvej 6 A, 6000, Kolding,Hjarupvej,6, A,Hjarupvej,6, A
"Hjarupvej 6 A, 6000, Kolding",55.456646,9.474381,Hjarupvej ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,6,True,False,True,mlptskgvcr,Hjarupvej 6 A, 6000, Kolding,Hjarupvej,6, A,Hjarupvej,6, A
"Hjarupvej 6 A, 6000, Kolding",55.456646,9.474381,Hjarupvej ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,6,True,False,True,mlmalwchuw,Hjarupvej 6 A, 6000, Kolding,Hjarupvej,6, A,Hjarupvej,6, A
"Høgesti 3, 6000, Kolding",55.4967654,9.4762103,Høgesti ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,3,True,False,False,mlvjhvivel,Høgesti 3, 6000, Kolding,Høgesti,3,,Høgesti,3,
"Høgesti 5, 6000, Kolding",55.49706759999999,9.4762562,Høgesti ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,5,True,False,False,mlyxxcioti,Høgesti 5, 6000, Kolding,Høgesti,5,,Høgesti,5,
"Høgesti 7, 6000, Kolding",55.4972472,9.4761077,Høgesti ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,7,True,False,False,mlkhezrpde,Høgesti 7, 6000, Kolding,Høgesti,7,,Høgesti,7,
"Jernbanegade 5, 6000, Kolding",55.49029119999999,9.4754811,Jernbanegade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,400,False,5,True,False,False,mlbcqrjiec,Jernbanegade 5, 6000, Kolding,Jernbanegade,5,,Jernbanegade,5,
"Jernbanegade 5, 6000, Kolding",55.49029119999999,9.4754811,Jernbanegade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,400,False,5,True,False,False,mlgwyaxlil,Jernbanegade 5, 6000, Kolding,Jernbanegade,5,,Jernbanegade,5,
"Jernbanegade 5, 6000, Kolding",55.49029119999999,9.4754811,Jernbanegade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,140,False,5,True,False,False,mluanedjhc,Jernbanegade 5, 6000, Kolding,Jernbanegade,5,,Jernbanegade,5,
"Jernbanegade 5, 6000, Kolding",55.49029119999999,9.4754811,Jernbanegade ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,370,False,5,True,False,False,mljphwhmsp,Jernbanegade 5, 6000, Kolding,Jernbanegade,5,,Jernbanegade,5,
"Jernbanegade 19, 6000, Kolding",55.4901622,9.4766825,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,660,False,19,True,True,False,mlaxyxikjo,Jernbanegade 19, 6000, Kolding,Jernbanegade,19,,Jernbanegade,19,
"Jernbanegade 19, 6000, Kolding",55.4901622,9.4766825,Jernbanegade ,6000,Kolding,1,"140 l. beholder, mad","Tur 20, mandag og torsdag, mad/rest - LILLEBIL",False,False,140,False,19,True,True,False,mlhygvgmmr,Jernbanegade 19, 6000, Kolding,Jernbanegade,19,,Jernbanegade,19,
