adresse,postnr,kommune,antal,beholder,tur,ml,mu,tl,tu,sum,uid,vejnavn,husnr,appendiks,type,fremsætter,lås,sæk,id,caveat
Bjerggade 18,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,18,,240,False,False,False,f5542ed9-3056-4cea-8ef7-f584d9d7e3fb,False
Bjerggade 20,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,20,,240,False,False,False,2b2371dc-306e-43ce-a0f3-54b32b957944,False
Bjerggade 22,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,22,,240,False,False,False,35d351d8-810e-425b-9ba2-c1873c052556,False
Bjerggade 24,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,24,,240,False,False,False,a080b147-67bf-4fe3-9643-750a5b50f398,False
Bjerggade 26,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,26,,240,False,False,False,a5b82346-3744-4c5a-911e-60e0673d95a0,False
Bjerggade 28,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,28,,240,False,False,False,510d2d6b-8725-41da-b856-53537542ec12,False
Bjerggade 30,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,30,,240,False,False,False,639a09f7-0bb9-4fdc-8b6d-1b057125f14c,False
Bjerggade 32,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,32,,240,True,False,False,e14610b3-b175-477f-94b6-9de4db4bdbd7,False
Bjerggade 38,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,38,,240,True,False,False,482e4335-7b66-4c9a-ac70-37410b116daa,False
Bjert Kirkevej 27,6091,Bjert,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Bjert Kirkevej,27,,240,False,False,False,5941db65-ce88-4f4a-b26f-cab85071bdb3,False
Borchs gård 7,6000,Kolding,3,240 l Mr. Fill rest - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Borchs gård,7,,240,False,False,False,4dc7b468-4106-4669-ae04-9ad873ca02b2,False
Borchs gård 7,6000,Kolding,1,240 l Mr. Fill mad - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Borchs gård,7,,240,False,False,False,b69762e4-f9f6-4b0c-8419-68d1dc073110,False
Borchs gård 39,6000,Kolding,1,240 l Mr. Fill mad - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Borchs gård,39,,240,False,False,False,b601ea6a-f29e-4581-809f-030aa8fae9ed,False
Borchs gård 39,6000,Kolding,5,240 l Mr. Fill rest - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Borchs gård,39,,240,False,False,False,ea8d9d36-0975-4ea2-8f04-af0136a5a5af,False
Bredgade 15,6000,Kolding,1,"140 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Bredgade,15,,140,False,False,False,6dfe898f-084b-4713-9cae-adf3e49459c9,False
Bredgade 15,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Bredgade,15,,400,False,False,False,6f4e315f-31cd-4475-9f93-946743064b91,False
Brostræde 6,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,False,True,1,1,Brostræde,6,,370,False,False,False,55c35290-45ce-4de0-a768-b79b1a9d306b,False
